,Theshold,Recall,Precision,TP,FP,TN,FN,Total Workload,Saved Money,Defrauded Money,Saved Money %
0,0.0,1.0,0.007241532976827094,65,8911,0,0,8976,7564,7564,100
1,0.05,0.7230769230769231,0.3197278911564626,47,100,8811,18,147,4267,7564,56
2,0.1,0.6923076923076923,0.5,45,45,8866,20,90,4231,7564,56
3,0.15000000000000002,0.6923076923076923,0.6521739130434783,45,24,8887,20,69,4231,7564,56
4,0.2,0.6615384615384615,0.7678571428571429,43,13,8898,22,56,4157,7564,55
5,0.25,0.6615384615384615,0.8431372549019608,43,8,8903,22,51,4157,7564,55
6,0.30000000000000004,0.6615384615384615,0.8775510204081632,43,6,8905,22,49,4157,7564,55
7,0.35000000000000003,0.6615384615384615,0.8775510204081632,43,6,8905,22,49,4157,7564,55
8,0.4,0.6615384615384615,0.8775510204081632,43,6,8905,22,49,4157,7564,55
9,0.45,0.6615384615384615,0.8958333333333334,43,5,8906,22,48,4157,7564,55
10,0.5,0.6615384615384615,0.9148936170212766,43,4,8907,22,47,4157,7564,55
11,0.55,0.6461538461538462,0.9130434782608695,42,4,8907,23,46,4155,7564,55
12,0.6000000000000001,0.6153846153846154,0.9302325581395349,40,3,8908,25,43,4117,7564,54
13,0.65,0.6,0.975,39,1,8910,26,40,4018,7564,53
14,0.7000000000000001,0.5846153846153846,1.0,38,0,8911,27,38,4016,7564,53
15,0.75,0.5692307692307692,1.0,37,0,8911,28,37,3665,7564,48
16,0.8,0.5384615384615384,1.0,35,0,8911,30,35,3526,7564,47
17,0.8500000000000001,0.5230769230769231,1.0,34,0,8911,31,34,3389,7564,45
18,0.9,0.5230769230769231,1.0,34,0,8911,31,34,3389,7564,45
19,0.9500000000000001,0.46153846153846156,1.0,30,0,8911,35,30,2347,7564,31
20,1.0,0.0,0.0,0,0,8911,65,0,0,7564,0
